cand_id,name,transaction_amt
H4MD061912014,12,12
H4ME022002014,59,59
H4ME022342014,130,130
H4MI011142014,7,7
H4MI032272014,2,2
H4MI041262014,26,26
H4MI041342014,4,4
H4MI051492014,9,9
H4MI061052014,11,11
H4MI071032012,54,54
H4MI071032014,94,94
H4MI071782014,6,6
H4MI081352014,19,19
H4MI110972014,82,82
H4MI111052014,24,24
H4MI120612014,3,3
H4MI120792014,27,27
H4MN050712014,1,1
H4MN060872014,62,62
H4MN061292014,8,8
H4MN070772014,20,20
H4MN080832014,46,46
H4MO052342012,2,2
H4MO052342014,8,8
H4MO081622014,17,17
H4MO082122014,2,2
H4MS020682012,16,16
H4MS020682014,22,22
H4MT000682014,27,27
H4MT010412014,154,154
H4NC010462012,6,6
H4NC010462014,8,8
H4NC021272014,53,53
H4NC051462012,48,48
H4NC051462014,50,50
H4NC060112012,4,4
H4NC060522014,17,17
H4NC060862014,21,21
H4NC071002014,3,3
H4NC100472012,56,56
H4NC100472014,60,60
H4NC110522012,18,18
H4NC121342014,11,11
H4NC130332014,4,4
H4ND000462014,19,19
H4NH022412014,40,40
H4NJ010842014,28,28
H4NJ010922014,7,7
H4NJ021402014,19,19
H4NJ031062014,40,40
H4NJ031302014,11,11
H4NJ051352014,57,57
H4NJ061092014,5,5
H4NJ110912014,9,9
H4NJ121232014,5,5
H4NJ121492014,45,45
H4NM011162014,12,12
H4NM020722014,30,30
H4NV011532014,2,2
H4NV040172014,21,21
H4NY030772014,12,12
H4NY040752014,335,335
H4NY040912014,52,52
H4NY111382012,10,10
H4NY120522014,7,7
H4NY171352014,7,7
H4NY191152014,176,176
H4NY201212014,7,7
H4NY210792014,58,58
H4NY211032014,74,74
H4NY211112014,2,2
H4NY230672014,32,32
H4NY240732014,32,32
H4NY260522014,2,2
H4NY270762012,28,28
H4NY270762014,8,8
H4NY290982014,5,5
H4OH021562014,2,2
H4OH060742014,6,6
H4OH080702014,1,1
H4OH141022014,64,64
H4OK051242014,2,2
H4OK051322014,12,12
H4OK060562012,14,14
H4OK060562014,26,26
H4OR021782014,2,2
H4OR031012014,1,1
H4OR052392014,5,5
H4PA011032014,7,7
H4PA030752012,4,4
H4PA031092014,11,11
H4PA070922014,2,2
H4PA080742012,166,166
H4PA080742014,182,182
H4PA081082014,43,43
H4PA100542014,11,11
H4PA100622014,8,8
H4PA120432014,4,4
H4PA131242012,110,110
H4PA131242014,10,10
H4PA131992014,28,28
H4PA150872012,98,98
H4PA150872014,66,66
H4PA160852014,2,2
H4PA181312012,20,20
H4SC010732014,12,12
H4SC050582014,1,1
H4SD000492014,2,2
H4TN041712014,11,11
H4TX021082012,52,52
H4TX021082014,82,82
H4TX040392012,56,56
H4TX040392014,68,68
H4TX041532014,14,14
H4TX061172012,40,40
H4TX061172014,38,38
H4TX090952012,8,8
H4TX090952014,14,14
H4TX100282012,102,102
H4TX100282014,84,84
H4TX100932012,52,52
H4TX100932014,94,94
H4TX130142012,16,16
H4TX130142014,48,48
H4TX191022012,66,66
H4TX191022014,44,44
H4TX191362012,54,54
H4TX191362014,108,108
H4TX192762014,6,6
H4TX240942012,22,22
H4TX240942014,8,8
H4TX270552014,13,13
H4TX280462012,124,124
H4TX280462014,2,2
H4TX320302014,1,1
H4TX340102014,15,15
H4UT021972014,1,1
H4UT040112014,52,52
H4VA020522014,37,37
H4VA050482014,2,2
H4VA071432014,50,50
H4VA071502014,18,18
H4VA081822014,6,6
H4VA082242014,93,93
H4VA083312014,4,4
H4VA100712014,77,77
H4VA100892014,187,187
H4VA110872014,8,8
H4WA031142014,1,1
H4WA040882014,10,10
H4WA041042014,12,12
H4WA050772012,82,82
H4WA050772014,122,122
H4WA051272014,4,4
H4WA060752014,3,3
H4WA080712012,54,54
H4WA080712014,32,32
H4WA081212014,3,3
H4WA100102014,4,4
H4WI031442014,5,5
H4WI041832012,10,10
H4WI041832014,20,20
H4WI060482014,18,18
H4WI060712014,1,1
H4WI070952014,2,2
H4WV020722014,60,60
H4WV020802014,85,85
H4WV030472012,78,78
H4WV030702014,82,82
H6AK000452012,28,28
H6AK000452014,42,42
H6AL040982012,72,72
H6AL040982014,30,30
H6CA051952012,24,24
H6CA051952014,12,12
H6CA070432012,4,4
H6CA070432014,10,10
H6CA090232012,18,18
H6CA221252012,242,242
H6CA221252014,302,302
H6CA240482012,216,216
H6CA240482014,34,34
H6CA241132012,164,164
H6CA241132014,88,88
H6CA341122012,112,112
H6CA341122014,2,2
H6CA390202012,154,154
H6CA390202014,192,192
H6CA420992012,26,26
H6CA420992014,10,10
H6CA460332012,94,94
H6CA460332014,84,84
H6CA480392012,80,80
H6CA480392014,4,4
H6CO011412012,18,18
H6CO011412014,12,12
H6CO031392012,194,194
H6CO031392014,108,108
H6CO051592012,14,14
H6CO051592014,26,26
H6CO070232012,94,94
H6CO070232014,62,62
H6FL060352012,54,54
H6FL060352014,8,8
H6FL081302014,2,2
H6FL082132012,18,18
H6FL082132014,42,42
H6FL082472012,12,12
H6FL090702012,42,42
H6FL090702014,20,20
H6FL111262012,14,14
H6FL111262014,4,4
H6FL131482012,188,188
H6FL131482014,148,148
H6GA052172012,16,16
H6GA052172014,12,12
H6IA010982012,120,120
H6IA010982014,4,4
H6IA021462012,14,14
H6IA021462014,20,20
H6IA031442012,64,64
H6IL021242012,70,70
H6IL051502014,21,21
H6IL061172012,122,122
H6IL061172014,158,158
H6IL061412012,206,206
H6IL061412014,142,142
H6KS011462012,16,16
H6KS011462014,32,32
H6KY031242012,28,28
H6KY031242014,40,40
H6MA071012012,26,26
H6MA071012014,1304,1304
H6MD032922012,212,212
H6MD032922014,152,152
H6MD041832012,8,8
H6MD041832014,30,30
H6MD071602012,4,4
H6MD071602014,36,36
H6MI010282012,28,28
H6MI010282014,12,12
H6MI041132012,58,58
H6MI041132014,50,50
H6MI121812012,8,8
H6MI121812014,26,26
H6MN011742012,70,70
H6MN011742014,60,60
H6MN051832012,74,74
H6MN051832014,36,36
H6MN060742012,174,174
H6MN060742014,4,4
H6MO051892012,7,7
H6MO051892014,4,4
H6MO080842012,24,24
H6NC040372012,8,8
H6NC040372014,18,18
H6NC081112012,26,26
H6NH012302012,84,84
H6NH012302014,140,140
H6NJ061872012,134,134
H6NJ061872014,4,4
H6NJ081182012,38,38
H6NJ081182014,28,28
